texto,clase
"Muy buena atención, volvería sin dudar ¡Gracias!",pos
Una pérdida de tiempo total Para nada recomendable.,neg
Atención al cliente pésima Fue una sorpresa.,neg
Excelente calidad y servicio,pos
El producto llegó roto Realmente excelente.,neg
El producto llegó en perfectas condiciones ¡Gracias!,pos
"Una joya, repetiría sin pensarlo ¡Gracias!",pos
Demasiado caro para lo que ofrece Realmente excelente.,neg
El producto llegó roto Definitivamente sí.,neg
Excelente calidad y servicio Para nada recomendable.,pos
"Me encantó la película, la disfruté mucho Definitivamente sí.",pos
Demasiado caro para lo que ofrece Nunca más.,neg
Atención al cliente pésima Realmente excelente.,neg
Nunca llegó lo que pedí ¡Gracias!,neg
"Me encantó la película, la disfruté mucho Nunca más.",pos
"Una joya, repetiría sin pensarlo",pos
La comida estaba fría y mal presentada Fue una sorpresa.,neg
"Increíble, superó mis expectativas Nunca más.",pos
Atención al cliente pésima Nunca más.,neg
No cumplió con lo prometido Totalmente conforme.,neg
Excelente calidad y servicio Para nada recomendable.,pos
Nunca llegó lo que pedí ¡Gracias!,neg
"Muy buena atención, volvería sin dudar",pos
"Una joya, repetiría sin pensarlo Totalmente conforme.",pos
"Muy recomendable, todo salió bien",pos
Demasiado caro para lo que ofrece ¡Gracias!,neg
"Muy mala experiencia, no lo recomiendo Nunca más.",neg
El producto llegó en perfectas condiciones,pos
Nunca llegó lo que pedí Totalmente conforme.,neg
"Increíble, superó mis expectativas Nunca más.",pos
"Una joya, repetiría sin pensarlo Jamás volveré.",pos
No volvería a comprar aquí,neg
"Muy amable el personal, gracias Totalmente conforme.",pos
Me trataron muy mal ¡Gracias!,neg
El producto llegó roto ¡Gracias!,neg
Me trataron muy mal Definitivamente sí.,neg
Atención al cliente pésima Para nada recomendable.,neg
No cumplió con lo prometido Para nada recomendable.,neg
No cumplió con lo prometido Jamás volveré.,neg
"Una joya, repetiría sin pensarlo Jamás volveré.",pos
El producto llegó en perfectas condiciones No lo esperaba.,pos
Nunca llegó lo que pedí ¡Gracias!,neg
"Muy amable el personal, gracias Nunca más.",pos
Demasiado caro para lo que ofrece Jamás volveré.,neg
Excelente calidad y servicio Realmente excelente.,pos
No volvería a comprar aquí Definitivamente sí.,neg
"Muy amable el personal, gracias Jamás volveré.",pos
Atención al cliente pésima Jamás volveré.,neg
"Una experiencia inolvidable, todo perfecto",pos
"Muy mala experiencia, no lo recomiendo Para nada recomendable.",neg
"Muy recomendable, todo salió bien",pos
Servicio rápido y eficaz Totalmente conforme.,pos
El producto llegó roto Realmente excelente.,neg
"Muy recomendable, todo salió bien No lo esperaba.",pos
Excelente calidad y servicio Fue una sorpresa.,pos
Una pérdida de tiempo total,neg
Excelente calidad y servicio Jamás volveré.,pos
"Muy recomendable, todo salió bien Definitivamente sí.",pos
Me trataron muy mal ¡Gracias!,neg
Servicio rápido y eficaz Definitivamente sí.,pos
"Muy buena atención, volvería sin dudar Fue una sorpresa.",pos
Demasiado caro para lo que ofrece Definitivamente sí.,neg
"Muy amable el personal, gracias Definitivamente sí.",pos
Servicio rápido y eficaz ¡Gracias!,pos
"Muy buena atención, volvería sin dudar No lo esperaba.",pos
"Una joya, repetiría sin pensarlo Totalmente conforme.",pos
Me trataron muy mal Para nada recomendable.,neg
No volvería a comprar aquí No lo esperaba.,neg
Demasiado caro para lo que ofrece,neg
"Una joya, repetiría sin pensarlo Fue una sorpresa.",pos
"Me encantó la película, la disfruté mucho Nunca más.",pos
"Me encantó la película, la disfruté mucho ¡Gracias!",pos
"Me encantó la película, la disfruté mucho Para nada recomendable.",pos
Me trataron muy mal Fue una sorpresa.,neg
"Increíble, superó mis expectativas",pos
Excelente calidad y servicio No lo esperaba.,pos
No cumplió con lo prometido Jamás volveré.,neg
Nunca llegó lo que pedí Totalmente conforme.,neg
Una pérdida de tiempo total No lo esperaba.,neg
Excelente calidad y servicio,pos
El producto llegó en perfectas condiciones Realmente excelente.,pos
Nunca llegó lo que pedí Totalmente conforme.,neg
La comida estaba fría y mal presentada ¡Gracias!,neg
"Muy buena atención, volvería sin dudar Totalmente conforme.",pos
No cumplió con lo prometido Para nada recomendable.,neg
La comida estaba fría y mal presentada Para nada recomendable.,neg
"Me encantó la película, la disfruté mucho Realmente excelente.",pos
La comida estaba fría y mal presentada Para nada recomendable.,neg
La comida estaba fría y mal presentada,neg
"Muy buena atención, volvería sin dudar No lo esperaba.",pos
Servicio rápido y eficaz ¡Gracias!,pos
"Me encantó la película, la disfruté mucho ¡Gracias!",pos
Demasiado caro para lo que ofrece Realmente excelente.,neg
"Increíble, superó mis expectativas Para nada recomendable.",pos
El producto llegó roto Definitivamente sí.,neg
Atención al cliente pésima Fue una sorpresa.,neg
Nunca llegó lo que pedí Para nada recomendable.,neg
"Muy amable el personal, gracias No lo esperaba.",pos
"Muy mala experiencia, no lo recomiendo Realmente excelente.",neg
Nunca llegó lo que pedí Fue una sorpresa.,neg
