id,nombre_iniciativa,descripcion,principio_GA,link,fecha_lanzamiento,ambito,representacion,organismo,intitucion_principal,provincia,localidad,domicilio,correo_electronico,telefono
1,Portal de Apertura de Datos,"El programa de apertura de datos se creó a partir del principio de transparencia activa para que la ciudadanía pueda acceder a información, datos, estadísticas e informes que sean de utilidad para transparentar acciones de la gestión de gobierno, como así también generar sinergias con instituciones, sectores productivos, comerciales y académicos.",Datos,http://datos.lujan.gov.ar/,10/10/2020,Gubernamental,Ejecutivo Municipal,Jefatura de Gabinete,Secretaría,Buenos Aires,Luján,San Martín 550 - (CP 6700) - Luján,jefaturadegabinete@lujan.gob.ar,441300
2,ParticipAcción,"Encuentros entre vecinos y vecinas de Bahía Blanca, donde la comunidad tiene la oportunidad de pensar, construir y proponer ideas para sus barrios.A partir de diferentes encuentros, con la participación de funcionarios y funcionarias locales vamos a afianzar el diálogo, la cercanía y la gestión territorial.",Participación,labbahia.com.ar/participaccion/,01/03/2022,Gubernamental,Ejecutivo Municipal,Lab Bahía,,Buenos Aires,Bahía Blanca,"Alsina 65 Piso 1, B8000 Bahía Blanca, Provincia de Buenos Aires",lab@bahia.gob.ar,29145940002289
3,Gabinete en el Barrio,"Una vez por mes, el Gabinete completo sale a los barrios para conversar y dar respuestas a los vecinos y vecinas de la ciudad. A su vez tiene su reunión tradicional de Gabinete en el mismo barrio.",Participación,labbahia.com.ar/gabineteenelbarrio/,01/12/2021,Gubernamental,Ejecutivo Municipal,Lab Bahía,Secretaría General,Buenos Aires,Bahía Blanca,"Alsina 65 Piso 1, B8000 Bahía Blanca, Provincia de Buenos Aires",lab@bahia.gob.ar,29145940002289
4,Observatorio de Transformación Digital,El objetivo del Observatorio de Transformación Digital es mostrar datos e información de la gestión de servicios de la Municipalidad de Córdoba a partir de la elaboración de tableros BI interactivos que facilitan la comprensión y visualización de los datos a la ciudadanía. Los tableros BI son exhibidos públicamente a toda la ciudadanía en el portal municipal Ciudad Transparente.,Transparencia,https://gobiernoabierto.cordoba.gob.ar/visualizaciones/lista/,01/04/2022,Gubernamental,Ejecutivo Municipal,Dirección General de Transformación Digital,"Secretaría de Planeamiento, Modernización y Relaciones Internacionales",Córdoba,Córdoba,"Marcelo T. de Alvear 120, Córdoba.",nperezaguila@cordoba.gov.ar,3514285600
5,Conocimiento Abierto,El objetivo del programa Conocimiento Abierto es publicar experiencias y conocimiento de Transformación Digital Municipal en el portal Ciudad Transparente. Se mostrará públicamente cuál ha sido la estrategia de transformación digital del Municipio de Córdoba y se comunicará aspectos técnicos de su ejecución en conjunto con los distintos actores que dan lugar a la implementación público-privada del proceso de transformación digital mencionado. Participarán empresas del sector Govtech (ej: proveedores de software) y de la Economía del Conocimiento (ej: Universidades).,Transparencia,https://gobiernoabierto.cordoba.gob.ar/conocimiento-abierto/informes/,16/05/2022,Gubernamental,Ejecutivo Municipal,Dirección General de Transformación Digital,"Secretaría de Planeamiento, Modernización y Relaciones Internacionales",Córdoba,Córdoba,"Marcelo T. de Alvear 120, Córdoba.",nperezaguila@cordoba.gov.ar,3514285600
6,Acuerdo Capital,"Es un espacio que la Municipalidad de la Capital de La Rioja abre a la ciudadanía para buscar consensos en las nuevas formas de interactuar en la ciudad entre los vecinos y vecinas y el gobierno. A la vez, sirve para tomar decisiones respecto a la nueva normalidad, es decir las nuevas normas que regirán nuestros actos luego de que superemos la pandemia del COVID 19 que transformará nuestras formas de hacer.Para ello se constituyen mesas de trabajo que contemplan las diferentes actividades que se desarrollan en la ciudad, como por ejemplo la mesa de Reactivación Productiva, la Mesa de Fomento a las Artes, Parámetros para el nuevo Turismo, etc.En este espacio se informa sobre las convocatorias a las diferentes mesas de trabajo, agendas, actividades y los aportes que se realicen para los diferentes sectores.",Participación,https://www.municipiolarioja.gob.ar/index.php/acuerdo-capital,25/05/2020,Gubernamental,Ejecutivo Municipal,Dirección General de Enlace y Cooperación Técnica,Jefatura de Gabinete,La Rioja,La Rioja,"Calle Santa Fé, F5300 La Rioja, Capital",transparencia@municipiolarioja.gob.ar,
7,Portal de transparencia,"Es una herramienta al servicio de la ciudadanía por medio del cual puede acceder a las actividades, acciones e información que se generan en la gestión municipal y dar seguimiento en la distribución y ejecución de los recursos públicos municipales y los funcionarios/as responsables.El vecino a su vez y en ejercicio del derecho a la información también puede solicitar información que considere necesaria y no se encuentre en el portal a través de un Formulario de Solicitud de Información Pública.Este Portal tiene como objetivo la apertura de la gestión Municipal hacia el vecino para una transparente rendición de cuentas.",Transparencia,https://www.municipiolarioja.gob.ar/index.php/municipalidadd/transparencia,20/06/2016,Gubernamental,Ejecutivo Municipal,Dirección General de Enlace y Cooperación Técnica,Jefatura de Gabinete,La Rioja,La Rioja,"Calle Santa Fé, F5300 La Rioja, Capital",transparencia@municipiolarioja.gob.ar,
8,Datos Abiertos,El objetivo es publicar datos en formato de dataset para que la ciudadanía tenga acceso libre a los mismos. Es importante porque aporta transparencia a los datos del municipio de cara a la sociedad.,Datos,https://datos.vivamoscomodoro.gob.ar/,15/06/2021,Gubernamental,Ejecutivo Municipal,Subsecretaria de Modernización y Transparencia,"Secretaría de Gobierno, Modernización y Transparencia",Chubut,Comodoro Rivadavia,Moreno 815 - Comodoro Rivadavia,modernizacion@vivamoscomodoro.gob.ar,+5492974757400
9,Plan de Acción OGP Local,"Acompañamos a municipios en el alcance colaborativo del desarrollo sostenible conjuntamente con sus diversos actores, utilizando la Agenda 2030 como herramienta para generar políticas públicas incorporando una perspectiva de género y un enfoque de juventudes.",Participación,https://gestionabierta.cba.gov.ar/index.php/novedades/,16/11/2020,Gubernamental,Ejecutivo Provincial,Dirección de Articulación y Asuntos Institucionales,Ministerio de Coordinación,Córdoba,,Rosario de Santa Fe 650 - B°Centro - Córdoba Capital,nperezaguila@cordoba.gov.ar,
10,Gobierno Abierto con sentido,"La Provincia transversaliza la Agenda 2030 como horizonte de su rendición de cuentas, tranparentización así como su espacios de participación y colaboración. Publicamos resultados de gestión, alineamos nuestro presupuesto y articulamos con actores hacia los ODS.",Transparencia,https://gestionabierta.cba.gov.ar/,13/03/2019,Gubernamental,Ejecutivo Provincial,Dirección de Articulación y Asuntos Institucionales,Ministerio de Coordinación,Córdoba,,Rosario de Santa Fe 650 - B°Centro - Córdoba Capital,nperezaguila@cordoba.gov.ar,
